Method Goal Errors:
  Player 4: [0.2896, 0.2951, 0.2794, 0.2796, 0.2616, 0.2551, 0.001, 0.0003, 0.0006]
Trial 31:
  Player 1: [0.2554, 0.2599, 0.0082, 0.0548, 0.2583, 0.013, 0.2692, 0.0044, 0.2936]
  Player 2: [0.2717, 0.2502, 0.0086, 0.0557, 0.2343, 0.0078, 0.2314, 0.0054, 0.2215]
  Player 3: [0.2154, 0.1771, 0.0001, 0.0049, 0.1998, 0.0006, 0.0634, 0.0, 0.0605]
  Player 4: [0.3062, 0.2953, 0.0008, 0.0273, 0.261, 0.0006, 0.2626, 0.0008, 0.2291]
Trial 32:
  Player 1: [0.2595, 0.2601, 0.0547, 0.0074, 0.2583, 0.2802, 0.2683, 0.0137, 0.052]
  Player 2: [0.255, 0.2501, 0.0571, 0.0118, 0.2343, 0.2446, 0.2249, 0.0063, 0.0466]
  Player 3: [0.2425, 0.1363, 0.0001, 0.0006, 0.129, 0.1015, 0.1717, 0.0, 0.0009]
  Player 4: [0.306, 0.2953, 0.0271, 0.001, 0.2609, 0.2358, 0.2479, 0.0001, 0.0256]
Trial 33:
